연도,국가,여행객수
2003,합계,292539
2004,합계,320889
2005,합계,360140
2003,합계,140940
2004,합계,156779
2005,합계,178263
2003,합계,151599
2004,합계,164110
2005,합계,181877
2003,아프가니스탄,256
2004,아프가니스탄,139
2005,아프가니스탄,14
2003,아프가니스탄,242
2004,아프가니스탄,133
2005,아프가니스탄,10
2003,아프가니스탄,14
2004,아프가니스탄,6
2005,아프가니스탄,4
2003,바레인,42
2004,바레인,45
2005,바레인,36
2003,바레인,28
2004,바레인,29
2005,바레인,26
2003,바레인,14
2004,바레인,16
2005,바레인,10
2003,방글라데시,176
2004,방글라데시,226
2005,방글라데시,220
2003,방글라데시,114
2004,방글라데시,136
2005,방글라데시,128
2003,방글라데시,62
2004,방글라데시,90
2005,방글라데시,92
2003,부탄,0
2004,부탄,0
2005,부탄,0
2003,부탄,0
2004,부탄,0
2005,부탄,0
2003,부탄,0
2004,부탄,0
2005,부탄,0
2003,브루나이,8
2004,브루나이,21
2005,브루나이,10
2003,브루나이,3
2004,브루나이,10
2005,브루나이,4
2003,브루나이,5
2004,브루나이,11
2005,브루나이,6
2003,미얀마,193
2004,미얀마,228
2005,미얀마,206
2003,미얀마,125
2004,미얀마,135
2005,미얀마,133
2003,미얀마,68
2004,미얀마,93
2005,미얀마,73
2003,영령 인도양섬,0
2004,영령 인도양섬,0
2005,영령 인도양섬,0
2003,영령 인도양섬,0
2004,영령 인도양섬,0
2005,영령 인도양섬,0
2003,영령 인도양섬,0
2004,영령 인도양섬,0
2005,영령 인도양섬,0
2003,캄보디아,212
2004,캄보디아,349
2005,캄보디아,431
2003,캄보디아,131
2004,캄보디아,228
2005,캄보디아,259
2003,캄보디아,81
2004,캄보디아,121
2005,캄보디아,172
2003,스리랑카,181
2004,스리랑카,165
2005,스리랑카,184
2003,스리랑카,103
2004,스리랑카,86
2005,스리랑카,94
2003,스리랑카,78
2004,스리랑카,79
2005,스리랑카,90
2003,중국,43624
2004,중국,58807
2005,중국,67068
2003,중국,24368
2004,중국,31995
2005,중국,36379
2003,중국,19256
2004,중국,26812
2005,중국,30689
2003,타이완,1332
2004,타이완,1474
2005,타이완,1764
2003,타이완,668
2004,타이완,736
2005,타이완,911
2003,타이완,664
2004,타이완,738
2005,타이완,853
2003,키프러스,2
2004,키프러스,13
2005,키프러스,0
2003,키프러스,2
2004,키프러스,11
2005,키프러스,0
2003,키프러스,0
2004,키프러스,2
2005,키프러스,0
2003,홍콩,3320
2004,홍콩,4181
2005,홍콩,5200
2003,홍콩,1790
2004,홍콩,2256
2005,홍콩,2803
2003,홍콩,1530
2004,홍콩,1925
2005,홍콩,2397
2003,인도,1307
2004,인도,1579
2005,인도,2185
2003,인도,702
2004,인도,901
2005,인도,1272
2003,인도,605
2004,인도,678
2005,인도,913
2003,인도네시아,2914
2004,인도네시아,2522
2005,인도네시아,3205
2003,인도네시아,1759
2004,인도네시아,1427
2005,인도네시아,1895
2003,인도네시아,1155
2004,인도네시아,1095
2005,인도네시아,1310
2003,이란,288
2004,이란,336
2005,이란,341
2003,이란,254
2004,이란,305
2005,이란,290
2003,이란,34
2004,이란,31
2005,이란,51
2003,이라크,15
2004,이라크,98
2005,이라크,22
2003,이라크,10
2004,이라크,90
2005,이라크,19
2003,이라크,5
2004,이라크,8
2005,이라크,3
