공항코드1(IATA),영문도시명
ADP,Ampara
ADQ,Kodiak
ADS,Dallas
ADU,Ardabil
ADV,Ed Daein
ADW,Camp Springs
ADZ,San Andres Island
AEA,Abemama Atoll
AEB,Baise
AEG,Padang Sidempuan
AEH,Abeche
AEM,Amgu
AEP,Buenos Aires
AER,Sochi
AES,alesund
AET,Allakaket
AEU,Abu Musa Island
AEX,Alexandria
AEY,Akureyri
AFA,San Rafael
AFK,Ampara
AFL,Alta Floresta
AFN,Jaffrey
AFS,Zarafshan
AFT,Afutara
AFW,Fort Worth
AFZ,Sabzevar
AGA,Agadir
AGB,Augsburg
AGC,Pittsburgh
AGF,Agen
AGH,Angelholm
AGJ,Aguni
AGL,Wanigela
AGN,Angoon
AGP,Malaga
AGR,Agra
AGS,Augusta
AGT,Ciudad del Este
AGU,Aguascalientes
AGV,Acarigua
AGX,Agatti Island
AHB,Abha
AHE,Ahe
AHJ,Hongyuan
AHN,Athens
AHO,Alghero
AHU,Al Hoceima
AIA,Alliance
AIC,Airok
AIM,Ailuk Atoll
AIN,Fort Wainwright
AIP,Adampur
AIR,Aripuana
AIS,Arorae Island
AIT,Aitutaki
AIU,Atiu Island
AJA,Ajaccio
AJF,Sakakah
AJI,Agri
AJK,Arak
AJL,Aizawl
AJN,Anjouan
AJR,Arvidsjaur
AJU,Aracaju
AJY,Agadez
AKA,Ankang
AKB,Atka
AKD,Akola
AKF,Kufra
AKI,Akiak
AKJ,Asahikawa
AKK,Akhiok
AKL,Auckland
AKN,King Salmon
AKP,Anaktuvuk Pass
AKR,Akure
AKS,Auki
AKU,Aksu
AKV,Akulivik
AKX,Aktobe
AKY,Sittwe
ALA,Almaty
ALB,Albany
ALC,Alicante
ALE,Alpine
ALF,Alta
ALG,Algiers
ALH,Albany
ALI,Alice
ALM,Alamogordo
ALO,Waterloo
ALP,Aleppo
ALQ,Alegrete
ALR,Alexandra
ALS,Alamosa
ALW,Walla Walla
ALY,Alexandria
ALZ,Lazy Bay
AMA,Amarillo
AMD,Ahmedabad
AMH,Arba Minch
AMI,Mataram
AMM,Amman
AMQ,Ambon
AMS,Amsterdam
AMV,Amderma
AMY,Ambatomainty
ANA,Angama Mara
ANC,Anchorage
ANE,Angers
ANF,Antofagasta
ANG,Angouleme
ANI,Aniak
ANK,Ankara
ANM,Antalaha
ANR,Antwerp
ANS,Andahuaylas
ANU,Antigua
ANV,Anvik
ANX,Andenes
AOC,Altenburg
AOE,EskiSehir
AOG,Anshan
AOI,Ancona
AOJ,Aomori
AOK,Karpathos
AOO,Altoona
AOR,Alor Setar
AOS,Amook Bay
AOT,Aosta
AOU,Attapeu
APA,Denver
APB,Apolo
APC,Napa
APF,Naples
APK,Apataki
APL,Nampula
APN,Alpena
APO,Apartado
APW,Apia
APX,Arapongas
AQA,Araraquara
AQG,Anqing
AQI,Qaisumah-Hafar al-Batin
AQJ,Aqaba
AQP,Arequipa
ARA,New Iberia
ARC,Arctic Village
ARD,Alor Island
ARH,Arkhangelsk
ARI,Arica
ARK,Arusha
ARM,Armidale
ARN,Stockholm
ARR,Alto RIo Senguer
ART,Watertown
ARU,Aracatuba
ARV,Minocqua-Woodruff
ARW,Arad
ARX,Aracati
ASA,Assab
ASB,Ashgabat
ASD,Andros Town
ASE,Aspen
ASF,Astrakhan
ASI,Ascension Island
ASJ,Amami
ASM,Asmara
ASO,Asosa
ASP,Alice Springs
ASR,Kayseri
AST,Astoria
ASU,Asuncion
ASV,Amboseli
ASW,Aswan
ATA,Huaraz
ATC,Arthur's Town
ATD,Atoifi
ATH,Athens
ATJ,Antsirabe
ATK,Atqasuk
ATL,Atlanta
ATM,Altamira
ATQ,Amritsar
ATT,Atmautluak
ATW,Appleton
ATY,Watertown
ATZ,Assiut
AUA,Aruba
AUC,Arauca
AUG,Augusta
AUH,Abu Dhabi
AUK,Alakanuk
AUL,Aur Atoll
AUO,Auburn
AUQ,Atuona
AUR,Aurillac
AUS,Austin
AUU,Aurukun
AUX,AraguaIna
AUY,Anatom Island
AVA,Anshun
AVL,Asheville
AVN,Avignon
AVP,Pittston Township
AVV,Melbourne
AWA,Awasa
AWD,Aniwa Island
AWZ,Ahvaz
AXA,The Valley
AXD,Alexandroupoli
AXF,Alxa Left Banner
AXJ,Amakusa
AXK,Ataq
AXM,Armenia
AXP,Spring Point
AXR,Arutua
AXT,Akita
AXU,Axum
AYN,Anyang
AYP,Ayacucho
AYQ,Yulara
AYT,Antalya
AZA,Phoenix
AZD,Yazd
AZI,Abu Dhabi
AZN,Andizhan
AZO,Kalamazoo
AZR,Adrar
AZS,El Catey
BAD,Bossier City
BAF,Westfield-Springfield
BAG,Baguio
BAH,Manama
BAI,Buenos Aires
BAL,Batman
BAQ,Barranquilla
BAR,Qionghai
BAS,Balalae Island
BAT,Barretos
BAV,Baotou
BAX,Barnaul
BAY,Baia Mare
BAZ,Barcelos
BBA,Balmaceda
BBG,Butaritari Atoll
BBI,Bhubaneswar
BBK,Kasane
BBL,Ballera gas plant
BBN,Bario
BBO,Berbera
BBQ,Barbuda
BBS,Yateley
BBU,Bucharest
BCA,Baracoa
BCD,Bacolod
BCI,Barcaldine
BCM,Bacau
BCN,Barcelona
BCO,Jinka
BCQ,Brak
BCT,Boca Raton
BCU,Bauchi
BCV,Belmopan
BDA,Hamilton
BDB,Bundaberg
BDD,Badu Island
BDH,Bandar Lengeh
BDJ,Banjarmasin
BDL,Windsor Locks
BDO,Bandung
BDP,Bhadrapur-Chandragadhi
BDQ,Vadodara
BDR,Bridgeport
BDS,Brindisi
BDU,Bardufoss
BEB,Benbecula
BED,Bedford
BEF,Bluefields
BEG,Belgrade
BEJ,Tanjung Redeb
BEK,Bareilly
BEL,Belem
BEM,Beni Mellal
BEN,Benghazi
BEO,Newcastle
BEP,Bellary
BER,Berlin
BES,Brest
BET,Bethel
BEU,Bedourie
BEW,Beira
BEY,Beirut
BEZ,Beru Island
BFC,Bloomfield
BFD,Bradford
BFF,Scottsbluff
BFH,Curitiba
BFI,Seattle
BFJ,Bijie
BFL,Bakersfield
BFM,Mobile
BFN,Bloemfontein
BFO,Chiredzi
BFQ,Puerto Pina
BFS,Belfast
BFT,Beaufort County
BFU,Bengbu
BFV,Buriram
BFX,Bafoussam
BGA,Bucaramanga
BGC,Braganca
BGF,Bangui
BGG,Bingl
BGI,Bridgetown
BGL,Baglung
BGM,Binghamton
BGN,Belaya Gora
BGO,Bergen
BGR,Bangor
BGW,Baghdad
BGX,Bage
BGY,Milan
BHB,Bar Harbor
BHD,Belfast
BHE,Blenheim
BHG,Brus Laguna
BHH,Bisha
BHI,BahIa Blanca
BHJ,Bhuj
BHK,Bukhara
BHM,Birmingham
BHO,Bhopal
BHP,Bhojpur
BHQ,Broken Hill
BHR,Bharatpur
BHS,Bathurst
BHU,Bhavnagar
BHV,Bahawalpur
BHX,Birmingham
BHY,Beihai
BIA,Bastia
BIB,Baidoa
BID,Block Island
BIF,El Paso
BIH,Bishop
BII,Bikini Atoll
BIK,Biak
BIL,Billings
BIM,Bimini
BIN,Bamyan
BIO,Bilbao
BIQ,Biarritz
BIR,Biratnagar
BIS,Bismarck
BIU,BIldudalur
BJA,Bejaia
BJB,Bojnord
BJC,Denver
BJF,Batsfjord
BJI,Bemidji
BJL,Banjul
BJM,Bujumbura
BJR,Bahir Dar
BJT,Bentota
BJU,Bajura
BJV,Bodrum
BJW,Bajawa
BJX,Leon
BJZ,Badajoz
BKB,Bikaner
BKC,Buckland
BKG,Branson
BKI,Kota Kinabalu
BKK,Bangkok
BKL,Cleveland
BKM,Bakelalan
BKN,Balkanabat
BKO,Bamako
BKQ,Blackall
BKS,Bengkulu
BKW,Beckley
BKX,Brookings
BKY,Bukavu
BKZ,Bukoba
BLA,Barcelona
BLB,Panama Pacifico
BLD,Boulder City
BLE,BorlAnge
BLI,Bellingham
BLJ,Batna
BLK,Blackpool
BLL,Billund
BLQ,Bologna
BLR,Bangalore
BLU,Emigrant Gap
BLV,Belleville
BLZ,Blantyre
BMA,Stockholm
BMB,Bumba
BMD,Belo sur Tsiribihina
BME,Broome
BMG,Bloomington
BMI,Bloomington
BMK,Borkum
BMO,Bhamo
BMP,Brampton Island
BMU,Bima
BMV,Buon Ma Thuot
BMW,Bordj Badji Mokhtar
BMY,Waala
BNA,Nashville
BNB,Boende
BNC,Beni
BND,Bandar Abbas
BNE,Brisbane
BNI,Benin City
BNK,Ballina
BNN,Bronnoysund
BNS,Barinas
BNX,Banja Luka
BNY,Bellona Island
BOA,Boma
BOB,Bora Bora
BOC,Bocas Town
BOD,Bordeaux
BOG,Bogota
BOH,Bournemouth
BOI,Boise
BOJ,Burgas
BOM,Mumbai
BON,Kralendijk
BOO,Bodo
BOS,Boston
BOY,Bobo-Dioulasso
BPC,Bamenda
BPE,Qinhuangdao
BPF,Batuna
BPG,Barra do Garcas
BPL,Bole
BPM,Hyderabad
BPN,Balikpapan
BPS,Porto Seguro
BPT,Beaumont
BPX,Qamdo
BPY,Besalampy
BQA,Baler
BQB,Busselton
BQG,Bogorodskoye
BQH,London Biggin Hill
BQJ,Batagay
BQK,Brunswick
BQL,Boulia
BQN,Aguadilla
BQS,Blagoveshchensk
BQT,Brest
BRA,Barreiras
BRB,Barreirinhas
BRC,San Carlos de Bariloche
BRD,Brainerd
BRE,Bremen
BRI,Bari
BRK,Bourke
BRL,Burlington
BRM,Barquisimeto
BRN,Bern
BRO,Brownsville
BRQ,Brno
BRR,Barra
BRS,Bristol
BRT,Bathurst Island
BRU,Brussels
BRW,Barrow
BRX,Barahona
BSA,Bosaso
BSB,BrasIlia
BSC,BahIa Solano
BSD,Baoshan
BSG,Bata
BSK,Biskra
BSL,Basel
BSO,Basco
BSP,Bensbach
BSR,Basra
BST,Lashkar Gah
BSU,Basankusu
BSX,Pathein
BTA,Bertoua
BTC,Batticaloa
BTH,Batam
BTI,Barter Island
BTJ,Banda Aceh
BTK,Bratsk
BTL,Battle Creek
BTM,Butte
BTR,Baton Rouge
BTS,Bratislava
BTT,Bettles
BTU,Bintulu
BTV,Burlington
