국가,평균 출국자 수
괌,26371.851370851367
기타,128776.75649350649
네덜란드,5627.006493506494
네팔,776.1493506493507
뉴질랜드,4185.415584415585
독일,17258.291486291488
라오스,9957.24025974026
말레이시아,24324.574314574314
몽골,10196.077922077922
미국,77442.72943722944
베트남,217487.78282828283
북마리아나군도,11069.49098124098
사우디아라비아,1385.3311688311687
스페인,6317.770923520923
싱가포르,38584.83658008658
아랍에미리트연합,17141.886363636364
에티오피아,1401.0584415584417
영국,8671.060966810966
오스트레일리아,15150.831168831168
오스트리아,3341.6038961038957
우즈베키스탄,2376.2012987012986
이스라엘,1315.7987012987014
이탈리아,12440.701298701299
인도,2989.8614718614717
인도네시아,15138.491341991343
일본,393396.41991341993
중국,48321.41233766233
카자흐스탄,2166.214285714286
카타르,6934.233766233767
캄보디아,5831.436507936508
캐나다,9954.821067821069
타이,120391.53896103895
타이완,51654.006493506495
태국,40340.416666666664
튀르키예,12249.177128427129
폴란드,3366.2943722943724
프랑스,14499.771645021645
핀란드,5202.805194805194
필리핀,91694.60101010102
헝가리,4564.602453102453
홍콩,19515.370129870127
